trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
242,False,"{'a': 0.5, 'e': 0.08873233251530138}",20,8,-25.94935027873298,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08784500919014836}",20,7,22.17397953830046,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.08696655909824688}",20,0,12.423079161871357,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
245,False,"{'a': 0.5, 'e': 0.0860968935072644}",20,16,9.415575683894627,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08523592457219176}",30,18,23.491615498506906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.08438356532646984}",20,8,23.43940968629524,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.08353972967320515}",30,17,18.29317598169062,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.0827043323764731}",20,3,26.998908170608207,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.08187728905270836}",20,10,-20.73252554207122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
251,False,"{'a': 0.5, 'e': 0.08105851616218128}",20,0,7.547209125411278,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
252,False,"{'a': 0.5, 'e': 0.08024793100055946}",25,17,16.629898826618525,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07944545169055386}",25,15,-21.573127712110114,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
254,False,"{'a': 0.5, 'e': 0.07865099717364833}",20,0,24.34407927975762,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.07786448720191184}",25,9,27.613495298310294,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07708584232989273}",30,22,15.354840385090482,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.0763149839065938}",35,20,-15.44825916751729,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
258,False,"{'a': 0.5, 'e': 0.07555183406752786}",20,0,25.352908043559417,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
259,False,"{'a': 0.5, 'e': 0.07479631572685258}",20,2,18.022324561642776,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07404835256958406}",25,17,14.360448313236454,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.07330786904388821}",25,18,13.354667643965708,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07257479035344933}",25,0,-70.83674306470786,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
263,False,"{'a': 0.5, 'e': 0.07184904244991483}",25,7,19.48754317129155,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.07113055202541568}",20,5,27.117956112863546,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
